
('Inividuo', 179, ': ', [5, 1, 8, 6, 3, 7, 2, 4], 'Fitness: ', 0.0)
('Inividuo', 346, ': ', [5, 7, 1, 4, 2, 8, 6, 3], 'Fitness: ', 0.0)
('Inividuo', 476, ': ', [3, 6, 2, 5, 8, 1, 7, 4], 'Fitness: ', 0.0)
('Inividuo', 725, ': ', [4, 8, 1, 3, 6, 2, 7, 5], 'Fitness: ', 0.0)
('Inividuo', 1022, ': ', [3, 6, 2, 5, 8, 1, 7, 4], 'Fitness: ', 0.0)
('Inividuo', 1025, ': ', [4, 1, 5, 8, 6, 3, 7, 2], 'Fitness: ', 0.0)
('Inividuo', 1750, ': ', [5, 8, 4, 1, 7, 2, 6, 3], 'Fitness: ', 0.0)
('Inividuo', 1853, ': ', [2, 4, 6, 8, 3, 1, 7, 5], 'Fitness: ', 0.0)
('Inividuo', 2651, ': ', [1, 7, 4, 6, 8, 2, 5, 3], 'Fitness: ', 0.0)
('Inividuo', 2970, ': ', [4, 7, 5, 3, 1, 6, 8, 2], 'Fitness: ', 0.0)
('Inividuo', 2983, ': ', [2, 5, 7, 4, 1, 8, 6, 3], 'Fitness: ', 0.0)
('Inividuo', 3071, ': ', [3, 5, 2, 8, 1, 7, 4, 6], 'Fitness: ', 0.0)
('Inividuo', 3508, ': ', [4, 6, 8, 2, 7, 1, 3, 5], 'Fitness: ', 0.0)
('Inividuo', 4025, ': ', [7, 2, 4, 1, 8, 5, 3, 6], 'Fitness: ', 0.0)
('Inividuo', 4121, ': ', [5, 1, 4, 6, 8, 2, 7, 3], 'Fitness: ', 0.0)
('Inividuo', 4127, ': ', [8, 3, 1, 6, 2, 5, 7, 4], 'Fitness: ', 0.0)
('Inividuo', 4252, ': ', [4, 1, 5, 8, 6, 3, 7, 2], 'Fitness: ', 0.0)
('Inividuo', 4349, ': ', [8, 4, 1, 3, 6, 2, 7, 5], 'Fitness: ', 0.0)
('Inividuo', 4363, ': ', [5, 3, 8, 4, 7, 1, 6, 2], 'Fitness: ', 0.0)
('Inividuo', 5486, ': ', [4, 7, 3, 8, 2, 5, 1, 6], 'Fitness: ', 0.0)
('Inividuo', 5573, ': ', [1, 7, 5, 8, 2, 4, 6, 3], 'Fitness: ', 0.0)
('Inividuo', 6243, ': ', [5, 1, 8, 6, 3, 7, 2, 4], 'Fitness: ', 0.0)
('Inividuo', 7734, ': ', [5, 3, 1, 6, 8, 2, 4, 7], 'Fitness: ', 0.0)
('Inividuo', 7735, ': ', [2, 6, 1, 7, 4, 8, 3, 5], 'Fitness: ', 0.0)
('Inividuo', 7767, ': ', [4, 1, 5, 8, 2, 7, 3, 6], 'Fitness: ', 0.0)
('Inividuo', 7827, ': ', [3, 6, 8, 1, 4, 7, 5, 2], 'Fitness: ', 0.0)
('Inividuo', 8364, ': ', [1, 7, 5, 8, 2, 4, 6, 3], 'Fitness: ', 0.0)
('Inividuo', 8829, ': ', [4, 2, 5, 8, 6, 1, 3, 7], 'Fitness: ', 0.0)
('Inividuo', 9450, ': ', [8, 2, 5, 3, 1, 7, 4, 6], 'Fitness: ', 0.0)
('Inividuo', 9747, ': ', [5, 1, 4, 6, 8, 2, 7, 3], 'Fitness: ', 0.0)

('Inividuo', 692, ': ', [7, 3, 1, 6, 8, 5, 2, 4], 'Fitness: ', 0.0)
('Inividuo', 815, ': ', [4, 8, 5, 3, 1, 7, 2, 6], 'Fitness: ', 0.0)
('Inividuo', 2834, ': ', [6, 3, 7, 4, 1, 8, 2, 5], 'Fitness: ', 0.0)
('Inividuo', 3288, ': ', [2, 7, 5, 8, 1, 4, 6, 3], 'Fitness: ', 0.0)
('Inividuo', 3576, ': ', [6, 2, 7, 1, 3, 5, 8, 4], 'Fitness: ', 0.0)
('Inividuo', 3930, ': ', [5, 3, 8, 4, 7, 1, 6, 2], 'Fitness: ', 0.0)
